NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CHR7P15	CHR7P15	Details ...	73	-0.3218709	-1.3725082	0.075203255	0.55911016	0.978	3628	tags=25%, list=13%, signal=28%	
CHR9Q22	CHR9Q22		137	-0.28675056	-1.3698355	0.05154639	0.5430588	0.98	6976	tags=39%, list=25%, signal=51%	
CHRXQ21	CHRXQ21		66	-0.310192	-1.3427194	0.09631147	0.6246985	0.987	8430	tags=39%, list=30%, signal=56%	
CHR12Q12	CHR12Q12		43	-0.35657623	-1.3356421	0.09110629	0.62466514	0.988	3124	tags=26%, list=11%, signal=29%	
CHR17Q22	CHR17Q22		59	-0.3038703	-1.3243327	0.08995816	0.6437238	0.99	5357	tags=32%, list=19%, signal=40%	
CHR6P25	CHR6P25		62	-0.32888985	-1.3221673	0.11949685	0.62550974	0.991	5954	tags=29%, list=21%, signal=37%	
CHR6Q25	CHR6Q25		111	-0.26532507	-1.3179297	0.04904051	0.6170774	0.992	7175	tags=33%, list=25%, signal=44%	
CHR3P12	CHR3P12		36	-0.38696697	-1.3152733	0.12727273	0.60471356	0.992	2195	tags=25%, list=8%, signal=27%	
CHR3Q13	CHR3Q13		143	-0.29021788	-1.3047134	0.06950673	0.62253124	0.992	6922	tags=32%, list=24%, signal=42%	
CHR6Q13	CHR6Q13		44	-0.32488072	-1.2984699	0.12448133	0.62712145	0.994	8280	tags=41%, list=29%, signal=58%	
CHR8Q22	CHR8Q22		116	-0.30813718	-1.2798989	0.105882354	0.67860997	0.995	8396	tags=44%, list=30%, signal=62%	
CHR6Q24	CHR6Q24		55	-0.29939178	-1.2771103	0.092402466	0.66728985	0.995	3575	tags=24%, list=13%, signal=27%	
CHR5Q14	CHR5Q14		91	-0.26705897	-1.2765309	0.11044177	0.6484635	0.995	7866	tags=34%, list=28%, signal=47%	
CHR5Q23	CHR5Q23		74	-0.28716394	-1.2719749	0.15447155	0.64551514	0.995	5878	tags=32%, list=21%, signal=41%	
