NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MIR409_3P	MIR409_3P		85	-0.26331785	-1.0409597	0.37903225	0.609334	1.0	7946	tags=36%, list=28%, signal=50%	
MIR4666B	MIR4666B		123	-0.21639375	-1.0403119	0.3991684	0.61008626	1.0	7428	tags=33%, list=26%, signal=44%	
MIR146A_5P	MIR146A_5P		112	-0.22566903	-1.0401968	0.40392157	0.6095514	1.0	5497	tags=21%, list=19%, signal=26%	
MIR1302	MIR1302		73	-0.21872555	-1.039951	0.3875	0.60932606	1.0	4722	tags=23%, list=17%, signal=28%	
MIR329_3P	MIR329_3P		104	-0.23392557	-1.0398989	0.4265306	0.60863256	1.0	5337	tags=24%, list=19%, signal=29%	
MIR12130	MIR12130		27	-0.29755726	-1.0396508	0.40518963	0.608453	1.0	6918	tags=41%, list=24%, signal=54%	
MIR12124	MIR12124		323	-0.2171206	-1.0395932	0.37995824	0.6077818	1.0	4323	tags=20%, list=15%, signal=23%	
MIR361_5P	MIR361_5P		150	-0.22026202	-1.0395515	0.3943662	0.6070472	1.0	7821	tags=31%, list=28%, signal=43%	
MIR448	MIR448		343	-0.20578127	-1.0388901	0.40842104	0.6078369	1.0	6550	tags=28%, list=23%, signal=36%	
MIR5583_3P	MIR5583_3P		84	-0.24628305	-1.0386091	0.39606127	0.60768336	1.0	6767	tags=31%, list=24%, signal=41%	
MIR145_3P	MIR145_3P		69	-0.23785941	-1.0382395	0.39795917	0.60786736	1.0	7958	tags=35%, list=28%, signal=48%	
MIR5684	MIR5684		39	-0.29103488	-1.0379366	0.40518963	0.6078165	1.0	4762	tags=28%, list=17%, signal=34%	
MIR4453	MIR4453		26	-0.28319514	-1.0377523	0.4007782	0.6074825	1.0	11034	tags=54%, list=39%, signal=88%	
MIR194_3P	MIR194_3P		72	-0.24069017	-1.0374134	0.39915967	0.6075242	1.0	7584	tags=33%, list=27%, signal=45%	
MIR4647_MIR4662B	MIR4647_MIR4662B		83	-0.26081762	-1.036474	0.43204868	0.60905856	1.0	5950	tags=28%, list=21%, signal=35%	
MIR4671_3P	MIR4671_3P		209	-0.2007798	-1.036465	0.4050633	0.60826844	1.0	5708	tags=25%, list=20%, signal=32%	
MIR4731_3P	MIR4731_3P		206	-0.20674083	-1.0362358	0.38396624	0.60801655	1.0	5903	tags=22%, list=21%, signal=28%	
MIR2110	MIR2110		168	-0.20770596	-1.0357846	0.4254902	0.6084697	1.0	5554	tags=27%, list=20%, signal=34%	
MIR3609	MIR3609		332	-0.21301961	-1.0349807	0.42886597	0.6097062	1.0	5781	tags=24%, list=20%, signal=30%	
MIR302A_3P_MIR302B_3P_MIR302C_3P_MIR302D_3P	MIR302A_3P_MIR302B_3P_MIR302C_3P_MIR302D_3P		342	-0.20456555	-1.0349491	0.4091858	0.60894126	1.0	7487	tags=29%, list=26%, signal=38%	
MIR654_3P	MIR654_3P		79	-0.2546316	-1.0348662	0.40202022	0.6083445	1.0	7432	tags=39%, list=26%, signal=53%	
MIR1252_5P	MIR1252_5P		315	-0.19050609	-1.0347258	0.38271606	0.60787916	1.0	6528	tags=27%, list=23%, signal=35%	
MIR4646_5P	MIR4646_5P		140	-0.20775835	-1.0344303	0.40518963	0.6079184	1.0	7049	tags=32%, list=25%, signal=43%	
MIR548AH_5P	MIR548AH_5P		330	-0.21194084	-1.0343009	0.42505133	0.6074222	1.0	5781	tags=24%, list=20%, signal=30%	
MIR432_3P	MIR432_3P		58	-0.2425963	-1.0329423	0.43380857	0.6098732	1.0	5844	tags=28%, list=21%, signal=35%	
MIR5589_5P	MIR5589_5P		70	-0.23330832	-1.0325474	0.4317719	0.61004436	1.0	5554	tags=29%, list=20%, signal=35%	
MIR4303	MIR4303		217	-0.19895712	-1.0324595	0.3980198	0.6094597	1.0	8260	tags=34%, list=29%, signal=48%	
MIR4513	MIR4513		47	-0.26479423	-1.0312799	0.42	0.61156434	1.0	5482	tags=26%, list=19%, signal=32%	
MIR7844_5P	MIR7844_5P		145	-0.24618699	-1.0312219	0.3960396	0.61091477	1.0	6227	tags=26%, list=22%, signal=33%	
MIR4733_5P	MIR4733_5P		90	-0.23445539	-1.0310408	0.3921162	0.6105794	1.0	3395	tags=18%, list=12%, signal=20%	
MIR4278	MIR4278		34	-0.2601159	-1.0310187	0.43661973	0.6098272	1.0	5386	tags=29%, list=19%, signal=36%	
MIR877_5P	MIR877_5P		76	-0.22866425	-1.0307707	0.40524194	0.609602	1.0	8134	tags=33%, list=29%, signal=46%	
MIR4420	MIR4420		194	-0.2213747	-1.0304844	0.39717743	0.6095993	1.0	2037	tags=11%, list=7%, signal=12%	
MIR374B_5P	MIR374B_5P		352	-0.2063121	-1.0302407	0.39049587	0.60943836	1.0	5837	tags=25%, list=21%, signal=31%	
MIR4293	MIR4293		101	-0.24061054	-1.0300025	0.40518963	0.609207	1.0	4642	tags=19%, list=16%, signal=22%	
MIR5701	MIR5701		188	-0.19400395	-1.0297903	0.39307535	0.6089498	1.0	4773	tags=20%, list=17%, signal=24%	
MIR29A_3P	MIR29A_3P		417	-0.1972315	-1.0292825	0.3946281	0.60942656	1.0	7478	tags=29%, list=26%, signal=39%	
MIR3165	MIR3165		35	-0.26508802	-1.02849	0.41497976	0.61073685	1.0	3402	tags=17%, list=12%, signal=19%	
MIR520B_3P_MIR520C_3P_MIR520E_3P	MIR520B_3P_MIR520C_3P_MIR520E_3P		319	-0.20589194	-1.0282998	0.42299795	0.6104468	1.0	7487	tags=29%, list=26%, signal=39%	
MIR544B	MIR544B		212	-0.20233686	-1.0266126	0.43265307	0.6137668	1.0	6140	tags=24%, list=22%, signal=30%	
MIR5585_3P	MIR5585_3P		81	-0.20630871	-1.0260165	0.41528925	0.61444074	1.0	5992	tags=23%, list=21%, signal=30%	
MIR4329	MIR4329		76	-0.21924376	-1.0255668	0.4105263	0.61476755	1.0	8072	tags=38%, list=28%, signal=53%	
MIR7109_3P	MIR7109_3P		61	-0.23119938	-1.0252861	0.42203742	0.6147214	1.0	5383	tags=26%, list=19%, signal=32%	
MIR3691_5P	MIR3691_5P		41	-0.2395057	-1.0247971	0.43360996	0.615119	1.0	6232	tags=29%, list=22%, signal=37%	
MIR4501	MIR4501		73	-0.23536785	-1.024606	0.4322709	0.61476064	1.0	6476	tags=32%, list=23%, signal=41%	
MIR6885_3P	MIR6885_3P		389	-0.20425561	-1.0244982	0.40123457	0.6142391	1.0	4726	tags=20%, list=17%, signal=24%	
MIR330_3P	MIR330_3P		322	-0.21495204	-1.0244141	0.41547862	0.61365026	1.0	7379	tags=31%, list=26%, signal=41%	
MIR520G_3P_MIR520H	MIR520G_3P_MIR520H		198	-0.21767068	-1.024357	0.4396728	0.6130023	1.0	8061	tags=35%, list=28%, signal=49%	
MIR372_3P	MIR372_3P		321	-0.20419583	-1.0241797	0.4212679	0.6126355	1.0	7487	tags=29%, list=26%, signal=38%	
MIR3154	MIR3154		111	-0.23154013	-1.0241764	0.43061224	0.6118564	1.0	4887	tags=26%, list=17%, signal=31%	
MIR520D_3P	MIR520D_3P		321	-0.20423186	-1.0240947	0.42886597	0.6112435	1.0	7487	tags=29%, list=26%, signal=38%	
MIR302D_5P	MIR302D_5P		191	-0.2158134	-1.022015	0.41	0.61593	1.0	8044	tags=33%, list=28%, signal=46%	
MIR188_5P	MIR188_5P		70	-0.23320715	-1.0215265	0.44444445	0.61631805	1.0	4753	tags=23%, list=17%, signal=27%	
MIR4273	MIR4273		104	-0.2111356	-1.0213885	0.4497908	0.6158188	1.0	5268	tags=24%, list=19%, signal=29%	
MIR6879_3P	MIR6879_3P		45	-0.24542025	-1.0203859	0.43558282	0.6176095	1.0	8248	tags=40%, list=29%, signal=56%	
MIR4531	MIR4531		320	-0.20069973	-1.0198877	0.4059829	0.61812156	1.0	5200	tags=22%, list=18%, signal=26%	
MIR5089_5P	MIR5089_5P		106	-0.22741614	-1.0198653	0.40983605	0.61737794	1.0	7470	tags=37%, list=26%, signal=50%	
MIR8065	MIR8065		144	-0.20846932	-1.0196967	0.42462844	0.6169766	1.0	4013	tags=18%, list=14%, signal=21%	
MIR32_3P	MIR32_3P		323	-0.22282693	-1.018538	0.43141153	0.6191876	1.0	6016	tags=25%, list=21%, signal=31%	
MIR1236_3P	MIR1236_3P		188	-0.19877978	-1.0177758	0.45381525	0.62030125	1.0	5287	tags=21%, list=19%, signal=26%	
MIR510_3P	MIR510_3P		359	-0.20326383	-1.0175965	0.41935483	0.6199527	1.0	7526	tags=31%, list=27%, signal=42%	
MIR3529_5P	MIR3529_5P		34	-0.26451886	-1.0175508	0.44214877	0.61927044	1.0	2478	tags=18%, list=9%, signal=19%	
MIR487A_3P	MIR487A_3P		100	-0.27674556	-1.0161085	0.4497992	0.62197447	1.0	7911	tags=35%, list=28%, signal=48%	
MIR621	MIR621		34	-0.28675038	-1.015926	0.425	0.62166816	1.0	6799	tags=38%, list=24%, signal=50%	
MIR4751	MIR4751		34	-0.25982425	-1.015786	0.46777546	0.62124306	1.0	4072	tags=24%, list=14%, signal=27%	
MIR16_2_3P	MIR16_2_3P		223	-0.20446883	-1.0156085	0.4214876	0.62091964	1.0	7020	tags=29%, list=25%, signal=38%	
